广东频道,#genre#
电视指南,http://192.168.1.14:8124/udp/239.253.43.19:5146
电视指南,http://192.168.1.14:8124/udp/239.253.43.10:5146
风云足球,http://192.168.1.14:8124/udp/239.253.43.20:5146
风云足球,http://192.168.1.14:8124/udp/239.253.43.14:5146
央视台球,http://192.168.1.14:8124/udp/239.253.43.21:5146
央视台球,http://192.168.1.14:8124/udp/239.253.43.11:5146
央视高网,http://192.168.1.14:8124/udp/239.253.43.22:5146
央视高网,http://192.168.1.14:8124/udp/239.253.43.12:5146
女性时尚,http://192.168.1.14:8124/udp/239.253.43.23:5146
女性时尚,http://192.168.1.14:8124/udp/239.253.43.8:5146
世界地理,http://192.168.1.14:8124/udp/239.253.43.24:5146
世界地理,http://192.168.1.14:8124/udp/239.253.43.7:5146
怀旧剧场,http://192.168.1.14:8124/udp/239.253.43.25:5146
怀旧剧场,http://192.168.1.14:8124/udp/239.253.43.5:5146
风云剧场,http://192.168.1.14:8124/udp/239.253.43.26:5146
风云剧场,http://192.168.1.14:8124/udp/239.253.43.16:5146
文化精品,http://192.168.1.14:8124/udp/239.253.43.27:5146
文化精品,http://192.168.1.14:8124/udp/239.253.43.13:5146
第一剧场,http://192.168.1.14:8124/udp/239.253.43.28:5146
第一剧场,http://192.168.1.14:8124/udp/239.253.43.15:5146
风云音乐,http://192.168.1.14:8124/udp/239.253.43.29:5146
风云音乐,http://192.168.1.14:8124/udp/239.253.43.6:5146
港台频道,#genre#
TVB Plus,p2p://generationnexxxt.com:19806/faf51cf453a84400be019b14939e49f6
TVB Plus,p2p://147.135.39.171:9906/65fd6048000be8b2a085bc4d061c504d
翡翠台,http://185.81.28.58/%F0%9F%A5%9D.php?id=ca9b19519b657d524c001ef858181b5d
翡翠台,http://avd.iptviptv.site:9694/hls/98/index.m3u8
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,p2p://147.135.39.171:9906/66430d4f000d5d62b0b20b3f5bac56f2
翡翠台,p2p://147.135.39.171:9906/66430d4f000a06ccb0b20a650b4b5d65
翡翠台,p2p://generationnexxxt.com:19806/2c1ef45c2c174f5c8df4d049e1cbccfd
无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
无线新闻,http://live.cooltv.top/tv/tvb.php?id=2
寰宇新闻,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8547/.m3u8
壹新闻台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8529/.m3u8
三立新闻台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8543/.m3u8
纬来体育台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8585/.m3u8
壹新闻台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8548/.m3u8
中天娱乐台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8541/.m3u8
民视新闻台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8542/.m3u8
中视,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8502/.m3u8
TVBS,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8575/.m3u8
TVBS欢乐,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8532/.m3u8
纬来电影,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8579/.m3u8
凤凰中文,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://58.144.154.93:80/qctv.fengshows.cn/live/0701phk72.m3u8
HOY78,p2p://generationnexxxt.com:19806/f40dc92cdc224868b83be4156ec315dc
now新闻,p2p://generationnexxxt.com:19806/86a69c6de155405ba916819e2634aa74
now新闻,p2p://generationnexxxt.com:19806/b9ba3f0b06b14fe69ac2cbf51c77d816
寰宇新闻,p2p://generationnexxxt.com:19806/33c00ed7adda475f9afe8adbd600bd9a
三立iNEWS,p2p://generationnexxxt.com:19806/6ec25b8c951a47cfb921435fb1968c16
三立新闻,p2p://generationnexxxt.com:19806/27c4d09b970a447dae2ef153650b7ac1
壹新闻,p2p://generationnexxxt.com:19806/dc5cf9b6bd4a43aa973b9beea88e631b
东森新闻,p2p://generationnexxxt.com:19806/311e31668d704df7ade8a4d5e745d49b
东森新闻,p2p://generationnexxxt.com:19806/f848bf771436495b9ce252af20bea6e2
三立iNEWS,p2p://generationnexxxt.com:19806/1d4ae63a90fa4f77b866e6f907a2c82c
中天亚洲,p2p://generationnexxxt.com:19806/1279f4aaa3ea4f958ed26b14f1ffeb7e
三立新闻,p2p://generationnexxxt.com:19806/69427a93f58247d1a31f424cbadc6c4d
中天亚洲,p2p://generationnexxxt.com:19806/6f522fd08aed4ee19dfb8485917faa66
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
